素材ID,素材名称,主体,内容,类型,痛点,打点,打点分桶,呈现方式,演员,编导,后期,投放剪辑,制作月份,是否投放双开头,消耗,转化数,录入数,t0加微数,当月录入当月邀约数,当月录入当月初诊数,当月录入当月首付费数,当月录入当月付费金额,T0加微率,当月当期邀约率,当月当期到诊率,当月当期付费总金额,当月当期客单价,当月当期ROI
7644026413071548457,推送视频_8植发-剧情边框-豆豆MARC-志松-下调（技术）（案例）（诊室）-跃海-20260525-广审版.mp4,广州,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,志松,跃海,,202605,,94941.85,167,159,79,25,18,4,115426,0.47,0.16,0.11,115426,28856.50,1.22
7619533815904632841,推送视频_8植发-剧情-昊天丽娜-志松-怎么了（价格）（钱）（空镜）-时亿-260320.mp4,广州,植发,剧情,价格,钱,其他,空镜,丽娜|昊天,志松,时亿,,202603,,74173.54,154,150,71,26,17,8,94197,0.46,0.17,0.11,94197,11774.62,1.27
7644025188117397546,推送视频_8植发-剧情-豆豆MARC-舒曼-下调（技术）（案例）（诊室）-跃海-20260525-广审版.mp4,广州,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,舒曼,跃海,,202605,,62901.15,115,105,59,16,8,1,12900,0.51,0.15,0.08,12900,12900.00,0.21
7649659876452565038,推送视频_HB改植发剧情豆豆MARC舒曼下调（技术）（案例）（诊室）跃海20260610.mp4,广州,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,舒曼,跃海,HB,202606,,60569.11,118,111,60,11,7,4,72589,0.51,0.10,0.06,72589,18147.25,1.20
7504929498410139702,推送视频_18-本地生活-18植发-混剪-wsm-wsm-80毛囊改编-250516.mp4,广州,植发,混剪,,,无,,,,,,202505,,30150.82,49,48,22,2,2,0,0,0.45,0.04,0.04,0,,0.00
7651558473001140265,推送视频_5植发-混剪-空空-舒曼-毛流感(女性美学)(漂亮)(空镜)-晓君-20260608.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,晓君,,202606,,29679.05,41,38,23,2,2,0,0,0.56,0.05,0.05,0,,0.00
7580999719885946890,21(1).mp4,广州,,,,,无,,,,,,,,29631.19,51,50,21,3,2,0,0,0.41,0.06,0.04,0,,0.00
7647755631001337892,推送视频_植发-剧情-丽娜田涛-设计-优势-诊室-刘超-七量-LC-20260606.mp4,广州,植发,剧情,设计,优势,其他,诊室,丽娜|田涛,刘超,LC,,202606,,27838.55,51,49,23,4,1,0,0,0.45,0.08,0.02,0,,0.00
7614532438156902438,推送视频_3植发-混剪-空空-黄笑-毛流感（女性美学）（空镜）-时亿-260302(1).mp4,广州,植发,混剪,女性美学,,无,空镜,空空,黄笑,时亿,,202603,,27164.82,35,29,19,4,2,0,0,0.54,0.14,0.07,0,,0.00
7645515025734172722,推送视频_8植发-剧情边框-豆豆MARC-志松-下调（技术）（案例）（诊室）-跃海-20260525.mp4,深圳,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,志松,跃海,,202605,,16175.03,37,31,18,4,2,1,15480,0.49,0.13,0.06,15480,15480.00,0.96
7652256317897981998,推送视频_6植发-混剪-空空-舒曼-2026（女性美学）（漂亮）（空镜）-李铁良-20260615.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,铁良,,202606,,16039.23,22,22,14,2,2,1,11280,0.64,0.09,0.09,11280,11280.00,0.70
7647832501743173684,推送视频_4植发-混剪-空空-舒曼-发际线（女性美学）（漂亮）（空镜）-跃海-20260604-广审版.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,跃海,,202606,,13105.29,31,25,13,4,4,1,10000,0.42,0.16,0.16,10000,10000.00,0.76
7647837424226074660,推送视频_4植发-混剪边框-空空-舒曼-发际线（女性美学）（漂亮）（空镜）-跃海-20260604-广审版.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,跃海,,202606,,10879.47,23,22,11,1,0,0,0,0.48,0.05,0.00,0,,0.00
7612115278185529386,推送视频_HB改-植发-剧情-智贺圣男-志松-2000根头发（价格）（诊室）-婷-20260228.mp4,广州,植发,剧情,价格,,无,诊室,圣男|智贺,志松,,HB,202602,,10648.42,20,19,9,2,1,0,0,0.45,0.11,0.05,0,,0.00
7621091435241930767,推送视频_4植发-剧情边框-雅婷豆豆-黄笑-美人尖（女性美学）（技术）（诊室）-跃海-260324-广审版.mp4,广州,植发,剧情,技术,,无,诊室,雅婷|豆豆,黄笑,跃海,,202603,,9374.31,11,9,4,1,0,0,0,0.36,0.11,0.00,0,,0.00
7580996850510872602,9.mp4,广州,,,,,无,,,,,,,,8962.19,22,20,11,4,3,1,30149,0.50,0.20,0.15,30149,30149.00,3.36
7620712818019549222,推送视频_13植发-剧情-雅婷智贺-舒曼-不去了(女性美学)(道歉)(诊室)-晓君-20260313.mp4,深圳,植发,剧情,女性美学,道歉,其他,诊室,雅婷|智贺,舒曼,晓君,,202603,,8898.37,24,20,8,2,2,1,13000,0.33,0.10,0.10,13000,13000.00,1.46
7652544936324202532,2植发-混剪-空空-舒曼-下调（女性美学）（漂亮）（空镜）-跃海-20260617,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,跃海,,202606,,8350.95,14,12,9,3,2,0,0,0.64,0.25,0.17,0,,0.00
7623322928765255706,推送视频_YG-植发-剧情-雅婷智贺-舒曼-价格-2000根-诊室-YG-20260330.mp4.mp4,深圳,植发,剧情,价格,,无,诊室,雅婷|智贺,舒曼,,YG,202603,,8162.14,22,22,10,5,3,1,14850,0.45,0.23,0.14,14850,14850.00,1.82
7633271127369449499,推送视频_YG-植发-剧情-雅婷智贺-舒曼-价格-2000根-诊室-YG-20260330.mp4,广州,植发,剧情,价格,,无,诊室,雅婷|智贺,舒曼,,YG,202603,,8043.60,19,19,6,1,0,0,0,0.32,0.05,0.00,0,,0.00
7617675728202727462,推送视频_10植发混剪空空价格空镜希琛大字报2门头方案马亚书260310,广州,植发,混剪,方案,方案,方案,空镜,空空,希琛,亚书,,202603,,7434.96,18,18,9,4,2,0,0,0.50,0.22,0.11,0,,0.00
7648862182912229411,推送视频_8植发-剧情边框-豆豆MARC-舒曼-下调（技术）（案例）（诊室）-跃海-20260529.mp4,广州,植发,剧情,技术,案例,其他,诊室,豆豆|MARC,舒曼,跃海,,202605,,7292.26,15,14,7,2,2,0,0,0.47,0.14,0.14,0,,0.00
7584264608858488883,推送视频_本地生活-9植发-实拍脚本9-刘婷-gzs-2512102000根头发（价格）-251211.mp4,广州,植发,,价格,,无,,,,刘婷,,202512,,7275.26,11,10,4,0,0,0,0,0.36,0.00,0.00,0,,0.00
7628501110178168884,推送视频_5植发-剧情-雅婷智贺-舒曼-不去了(女性美学)(道歉)(诊室)-晓君-20260326.mp4,广州,植发,剧情,女性美学,道歉,其他,诊室,雅婷|智贺,舒曼,晓君,,202603,,6404.79,16,13,5,0,0,0,0,0.31,0.00,0.00,0,,0.00
7632920600605524008,推送视频_14植发-剧情-空空-舒曼-花瓣形（女性美学）（漂亮）（诊室）-跃海-260423-广审版.mp4,广州,植发,剧情,女性美学,漂亮,其他,诊室,空空,舒曼,跃海,,202604,,6030.82,8,9,5,4,3,1,12800,0.62,0.44,0.33,12800,12800.00,2.12
7652256211245727771,推送视频_8植发-混剪-空空-舒曼-自然（女性美学）（漂亮）（空镜）-李铁良-20260615.mp4,广州,植发,混剪,女性美学,漂亮,其他,空镜,空空,舒曼,铁良,,202606,,5928.00,20,19,8,4,3,0,0,0.40,0.21,0.16,0,,0.00
